title,year,name,type,character,n
New York Cinta,2013,Cassell A. Ferere,actor,Bartender,
The Vixens,2015,Brandon A. Wright,actor,Officer Chode,29
Pokun Roxy,2013,Ade Nila A.,actor,Rogayeh,
Ma 6-T va crack-er,1997,Areski A.,actor,Emeutier,88
Ma 6-T va crack-er,1997,Badr A.,actor,Emeutier,94
Cheech and Chong's Next Movie,1980,Bobby A.,actor,Doorman,33
Ma 6-T va crack-er,1997,Hicham A.,actor,Emeutier,84
Ma 6-T va crack-er,1997,Hocine A.,actor,Emeutier,89
Ma 6-T va crack-er,1997,Jean-Vincent A.,actor,Emeutier,91
Archon Defender,2009,Kevin A.,actor,Geiss,11
Archon Defender,2009,Kevin A.,actor,Iasius,11
Archon Defender,2009,Kevin A.,actor,Archon Rem,11
Archon Defender,2009,Kevin A.,actor,Monk,11
Ma 6-T va crack-er,1997,Lionel A.,actor,Emeutier,85
Ma 6-T va crack-er,1997,Mohamed A.,actor,Emeutier,86
Ma 6-T va crack-er,1997,Mustapha A.,actor,Emeutier,83
Ma 6-T va crack-er,1997,Nordine A.,actor,Emeutier,90
Di Renjie: Shen du long wang,2013,Nuo A.,actor,Tuoba Lie's Man,24
Pelli Chesi Choodu,1988,Prasad A.,actor,RaviKumar,8
Alone in This House,2013,Randy A.,actor,Evil Creature,
Alone in This House,2013,Randy A.,actor,Homeowner,
Anthology of Horror 2,2015,Sergey A.,actor,Maniac,
Anthology of Horror 2,2015,Sergey A.,actor,Man,
Anthology of Horror 2,2015,Sergey A.,actor,Victim,
Anthology of Horror 2,2015,Sergey A.,actor,Vadim,
Anthology of Horror 3,2016,Sergey A.,actor,Sergey,
Anthology of Horror 3,2016,Sergey A.,actor,Victim,
Anthology of Horror 4,2017,Sergey A.,actor,Victim,
Anthology of Horror 4,2017,Sergey A.,actor,Vadim,
Antologiya uzhasov,2014,Sergey A.,actor,Victim,
Antologiya uzhasov,2014,Sergey A.,actor,Man,
Antologiya uzhasov,2014,Sergey A.,actor,Hand,
Antologiya uzhasov,2014,Sergey A.,actor,Angel,
Balka Illi,2015,Sergey A.,actor,Pavel,
Baykalskiy intsident. Skrytaya ugroza,2014,Sergey A.,actor,Svidetel,
Bloody Diarhea,2015,Sergey A.,actor,Man with knife,
Cemetery Legend,2015,Sergey A.,actor,Andrey,
Chistilische,2017,Sergey A.,actor,Demon,
Chistilische,2017,Sergey A.,actor,Gangbander,
Chistilische,2017,Sergey A.,actor,Zombie,
Flutter Green: The Sora Awakens,2017,Sergey A.,actor,Demichev,2
Interstelar,2014,Sergey A.,actor,Sergey Sergeevich,
Interstelar 2: Operation Terra 2040,2016,Sergey A.,actor,Sergey Sergeevich,
Interstelar 3: Zero X,2017,Sergey A.,actor,Sergey Sergeevich,
Jaws 19,2015,Sergey A.,actor,Roman Smirnov,
Krapiva,2016,Sergey A.,actor,Ivan Kuznetsov (Action Scenes),5
Krapiva,2016,Sergey A.,actor,Gopnik (Gangbanger),5
Mezhzvyozdnyie voyny. Sila probuzhdayetsya,2015,Sergey A.,actor,Volodya,1
Mezhzvyozdnyie voyny. Sila probuzhdayetsya,2015,Sergey A.,actor,Vade Dartus,1
Mortem (III),2016,Sergey A.,actor,Anton Alexandrov,1
Mystery of Faceless Man: History of Monster,2016,Sergey A.,actor,Sergey Lvov,
Otel mertvetsov,2013,Sergey A.,actor,Sergey,
Paranoia,2019,Sergey A.,actor,Psychologist,
Rise of the Dark,2015,Sergey A.,actor,Ghost,
Robbers,2017,Sergey A.,actor,Egor,
Secret of Slenderman 3,2016,Sergey A.,actor,Sergey Alexandrov,
Tayna Slendermena,2013,Sergey A.,actor,Sergey Aleksandrov,1
Tayna Slendermena 2,2014,Sergey A.,actor,Sergey,1
The Haunter of the Dark,2015,Sergey A.,actor,Anton Voloshin,
Whispering of Dead,2014,Sergey A.,actor,Sergey,
Ma 6-T va crack-er,1997,Steve A.,actor,Emeutier,92
Ma 6-T va crack-er,1997,Yacine A.,actor,Emeutier,93
Ma 6-T va crack-er,1997,Yahya A.,actor,Emeutier,87
Gimik: The Reunion,1999,92 A.D.,actor,Band at Rooftop,36
Contracted: Phase II,2015,Noah A.D.,actor,EMT,26
Street Eyes,2015,James A.E. Fuentes,actor,The Dead Guy,4
Cinta fotokopi,2005,Khai A.F.,actor,Khairul,
Potret mistik,2005,Khai A.F.,actor,Harry,
Who's the Man?,1993,A.G.,actor,Test Taker #3,89
In Ghost House Inn,2010,Vinod A.G.,actor,Lakshmikanth,15
Drumline,2002,A.J.,actor,BET Announcer #1,28
Porn Star Zombies,2009,A.J. (XV),actor,Trinity,6
The Legion of Supervillains the Official Music Video,2013,Four A.M.,actor,Zombie,
The Legion of Supervillains the Official Music Video,2013,Four A.M.,actor,Guy 2,
Protocolo 48: El experimento final,2012,Jorge A.N.,actor,Soldado 3,
Film horor,2007,Dwi A.P.,actor,Asto,
Kutukan arwah santet,2012,Dwi A.P.,actor,Raymond,
Suli,2016,Pragathi A.S.,actor,Shabana,2
D' Lucky Ones!,2006,The A.S.F. Dancers,actor,Fans' Day Dancers,33
Vamperifica,2012,A.V.,actor,Background Player,277
Sri Venkateswara Mahatmyam,1960,Subba Rao A.V. Jr.,actor,Brahma,10
Palletoori Pilla,1950,Subba Rao A.V.,actor,Kampanna Dora,4
Sri Kalahastiswara Mahatyam,1954,Subba Rao A.V.,actor,Basavareddy,12
Sri Venkateswara Mahatmyam,1960,Subba Rao A.V.,actor,Akasa Raju,5
Asoy geboy,2008,Argo Aa Jimmy,actor,Hilman,
Janda kembang,2009,Argo Aa Jimmy,actor,Pak Ustad,
Paradise Recovered,2010,Jim Aabear,actor,Richard,8
Omar,2013,Essam Abu Aabed,actor,Omar's Boss,10
La vache,2016,El Hassan Aabedlaoui,actor,Aissaoui 2,80
Kampen om tungtvannet,1948,Andreas Aabel,actor,Kasper Idland - fenrik,8
Alexander den Store,1917,Hauk Aabel,actor,Alexander Nyberg,
Du har lovet mig en kone!,1935,Hauk Aabel,actor,Professoren,6
En glad gutt,1932,Hauk Aabel,actor,Ola Nordistua,1
Troll-Elgen,1927,Hauk Aabel,actor,"Piper, direkt?r",9
Ungen,1938,Hauk Aabel,actor,Krestoffer,8
Brudebuketten,1953,Per Aabel,actor,H?yland jr.,3
Den farlige leken,1942,Per Aabel,actor,"Fredrik Holm, doktor",
En herre med bart,1942,Per Aabel,actor,"Ole Grong, advokat",1
Big Wednesday,1978,Dennis Aaberg,actor,Slick,14
The Extraordinary Secret of Jamie Klotz's Diary,2015,Dustin Aaberg,actor,John Ellison,
The Chicken in the Case,1921,Linus Aaberg,actor,Maj. Whitman,6
The President's Lady,1953,Linus Aaberg,actor,Uncle Alfred,
Alle for to,2013,Kristoffer Engholm Aabo,actor,Kamerahold,33
Olsen-banden deruda',1977,Ole Aaby,actor,Radiospeaker,
Olsen Banden Junior,2001,Olaf Aabye,actor,Tekniker,
Parallel Interiors,2010,Tosham Aacharya,actor,The Narrator,
Parallel Interiors,2010,Tosham Aacharya,actor,Rahul,
Parallel Interiors,2010,Tosham Aacharya,actor,Guy in the Hospital,
One Day I'll Leave,2015,Tony Aad,actor,Tony,
Godzilla,2014,Erik Aadahl,actor,Godzilla,
SOS: Secrets of Sex,2013,Kumaar Aadarsh,actor,Narrator,
SOS: Secrets of Sex Chapter 3,2014,Kumaar Aadarsh,actor,Narrator,
The World of Fashion,2013,Kumaar Aadarsh,actor,Vicky Oberoi,4
Vatsyayana Kamasutra,2001,Kumaar Aadarsh,actor,Angrik,2
Biriyani,2013,Aadhavan,actor,Sugan's Friend,22
Aadu Puli,2011,Aadhi,actor,Idhayakanni Bhagyanathan,
Aravaan,2012,Aadhi,actor,Varipuli,1
Aravaan,2012,Aadhi,actor,Chinnaan,1
Ayyanar,2010,Aadhi,actor,Prabha,
Ayyanar,2010,Aadhi,actor,Ayyanar,
Eeram,2009,Aadhi,actor,Vasudevan,1
Gundello Godari,2013,Aadhi,actor,Malli,
Kochadaiiyaan,2014,Aadhi,actor,Veera Mahendra,6
Mirugam,2007,Aadhi,actor,Ayyanar,1
Sarrainodu,2016,Aadhi,actor,Vairam Dhanush,2
Vallinam,2014,Aadhi,actor,Cameo Role,14
Yagavarayinum Naa Kakka,2015,Aadhi,actor,Sagaa,1
Gubeer,2014,Aadhi (II),actor,Cop1,
Chuttalabbayi,2016,Aadi (II),actor,Hero,
Lovely,2012,Aadi (II),actor,Aakash,1
Sukumarudu,2013,Aadi (II),actor,Sukumar,1
Layla M.,2016,Zouhair Ait Aadi,actor,Jihadi trainingscamp Belgium,
Chamku,2008,Aadil,actor,Bearded man,60
Gandhi,1982,Aadil,actor,Policeman at Chauri Chaura,104
Satrangee Parachute,2011,Aadil,actor,RD,
Malev,2005,Argo Aadli,actor,Leholas,4
Nimed marmortahvlil,2002,Argo Aadli,actor,Konsap,10
Supilinna Salaselts,2015,Argo Aadli,actor,Hillar Vesimaa,20
Jahan Jaaeyega Hamen Paaeyega,2007,Master Aadnani,actor,Nikesh - Anju's brother,
Chalte Chalte,2003,Aafaq,actor,Mechanic,16
Needle Boy,2016,Casper Aagaard,actor,Guy On Bike 2,
Under Overfladen,2015,Casper Aagaard,actor,Kira's store bror,
Arbejdet adler,1914,Enoch Aagaard,actor,Count von Lendorff,
Lykkens Budbringer,1918,Joakim Aagaard,actor,George Ulmer,
Oskar & Josefine,2005,Sebastian Aagaard-Williams,actor,Jesus,24
Johan Falk: Kodnamn: Lisa,2012,Benjamin Ikhine Aagaga,actor,Toni,43
Villmarkens lov,1944,Karl Aagard ?stvig,actor,Den nye oppasseren,6
Undercover,2016,Elias Amati Aagesen,actor,B?rnehjemsdreng,13
Bert,2006,Eric Aagesen,actor,Director Kid,
Winnie og Karina - The Movie,2009,Kristoffer Bjerre Aagesen,actor,Praktikanten,27
Hellmaster,1992,Larry Aagesen,actor,Extra,25
Mimosas,2016,Said Aagli,actor,Sa?d,3
Pusher,1996,Thomas Aagren,actor,M?rten,23
Banzai Motherfucker!,2006,Per-Sigmund Moen Aahjem,actor,Crackhead,14
Beast (IV),2011,Brian Aah?j,actor,Falckredder,8
Chandni Chowk to China,2009,Aakar,actor,Infant Sidhu,22
Babul,1986,Aakash,actor,Ashok,
Mumbai Mast Kallander,2011,Aakash,actor,Guard,23
Mumbai Meri Jaan,2008,Aakash (II),actor,Yusuf's Friend 1,12
Bujjigaadu: Made in Chennai,2008,Aakash (IV),actor,Younger Bujji,
Business Man,2012,Aakash (IV),actor,Younger Surya,
Chirutha,2007,Aakash (IV),actor,Young Charan,19
Dhoni,2012,Aakash (IV),actor,Karthick Subramaniam,2
Gabbar Singh,2012,Aakash (IV),actor,Gabbar Singh at age 10,
The Lotus Pond,2010,Aakash (IV),actor,Neeraj,
Nesthama,2008,Aakash (VI),actor,Ravi,
Antaratama,2008,Shyamal Aakash,actor,Naren,3
Escaping the Dead,2017,Tobias Alring Aakast,actor,Zombie,
City of Tiny Lights,2016,Antonio Aakeel,actor,Young Lovely,7
Inspiration Shines Through,2006,Antonio Aakeel,actor,Rishi,12
The Contract,2016,Antonio Aakeel,actor,Raza,8
Bigger Than Life,1956,Dee Aaker,actor,Joe,
Mister Scoutmaster,1953,Dee Aaker,actor,Bit Role,
Spin and Marty: The Movie,1955,Dee Aaker,actor,Russel the Muscle,13
The Kid from Left Field,1953,Dee Aaker,actor,3rd Baseman,
Neil Stryker and the Tyrant of Time,2017,Jedediah Aaker,actor,Swashbuckler #1,20
A Lion Is in the Streets,1953,Lee Aaker,actor,Johnny Briscoe,
Arena,1953,Lee Aaker,actor,Teddy Hutchins,7
Black Tuesday,1954,Lee Aaker,actor,Little Boy,
Bye Bye Birdie,1963,Lee Aaker,actor,Student leader,25
Desperate Search,1952,Lee Aaker,actor,Don Heldon,6
Destry,1954,Lee Aaker,actor,Eli Skinner,13
Hans Christian Andersen,1952,Lee Aaker,actor,Little Boy,
Her Twelve Men,1954,Lee Aaker,actor,Michael Elliott,
High Noon,1952,Lee Aaker,actor,Boy,
Hondo,1953,Lee Aaker,actor,Johnny Lowe,9
Jeopardy,1953,Lee Aaker,actor,Bobby Stilwin,4
Mister Scoutmaster,1953,Lee Aaker,actor,Arthur,11
My Son John,1952,Lee Aaker,actor,Boy,
No Room for the Groom,1952,Lee Aaker,actor,Donovan,8
O. Henry's Full House,1952,Lee Aaker,actor,"J.B. Dorset aka Red Chief (segment ""The Ransom of Red Chief"")",14
Ricochet Romance,1954,Lee Aaker,actor,Timmy Williams,10
Ride Clear of Diablo,1954,Lee Aaker,actor,Boy,
Something to Live For,1952,Lee Aaker,actor,Alternate Boy,
Take Me to Town,1953,Lee Aaker,actor,Corney Hall,5
The Atomic City,1952,Lee Aaker,actor,Tommy Addison,5
The Challenge of Rin Tin Tin,1958,Lee Aaker,actor,Rusty,
The Greatest Show on Earth,1952,Lee Aaker,actor,Little Boy Spectator,
The Raid,1954,Lee Aaker,actor,Larry's Friend,
In the Dark (VII),2015,Scott Aaker,actor,"The Creature (segment ""The Keeper"")",
"Se til venstre, der er en svensker",2003,Kim Fupz Aakeson,actor,Patient,
The Blackhawk Dilemma,2016,Carter Aakhus,actor,Hans,4
5 Seasons,2015,Jim Aal,actor,Bauer Karl,13
Triumph67,2010,Kareem Aal,actor,Sami Aziz,
Chouf,2016,Oussama Abdul Aal,actor,Rachid,3
The Gospel of John,2014,Ramdane Aala,actor,Caiaphas,
The Gospel of Luke,2015,Ramdane Aala,actor,Caiaphas,
The Gospel of Mark,2015,Ramdane Aala,actor,Caiaphas,
The Gospel of Matthew,2014,Ramdane Aala,actor,Caiaphas,
30:e november,1995,Steve Aalam,actor,Nabil,9
9 millimeter,1997,Steve Aalam,actor,Rico,3
Gangster,2007,Steve Aalam,actor,Romello,16
It's All About Love,2003,Steve Aalam,actor,Managers Assistant,
Angel City,2006,Craig Aaland,actor,Lars,
"Lovers, Liars and Thieves",1997,George Aalbregise,actor,Thug #3,35
Lang Leve de Achterhoek,2015,Dick Aalderink,actor,Himself,
Ashby,2015,Adam Aalderks,actor,Valchek,11
Blue,2015,Adam Aalderks,actor,Andrew,
C.I.G.A.R.,2014,Adam Aalderks,actor,Vito,
Curveball,2015,Adam Aalderks,actor,Sam,5
Nightstalking,2014,Adam Aalderks,actor,Jeff,
Her Minor Thing,2005,Erik Aalgaard,actor,News Guy,
Carlo & Ester,1994,Preben Aalholt,actor,Vicar,11
Retorno a Hansala,2008,Hassan Aallou,actor,Mec?nico taller,29
Vivere,2007,Evert Aalten,actor,Bandmember - Keyboards,10
Compadres,2006,Davin Aalto,actor,Adam,
Papukaijamies,1992,Henri Aalto,actor,Sami,7
Dokumentti Autokauppias Pentti Aulosteesta,2016,Kari (II) Aalto,actor,Naapuri Saunassa,
Lunastus,1997,Keijo Aalto,actor,Red,17
Kaivo,1992,Petri Aalto,actor,Constestant,
